date	close
00:17	36
00:35	42
01:00	80
04:40	20
05:12	29
05:42	35
06:00	27
06:15	25
06:30	38
06:48	40
07:06	52
07:19	39
07:32	37
07:45	37
08:02	50
08:19	46
08:36	69
08:53	63
09:10	63
09:27	48
09:44	57
10:01	45
10:18	52
10:35	67
10:52	65
11:09	88
11:26	57
11:43	56
12:00	54
12:17	53
12:34	64
12:51	59
13:08	69
13:25	62
13:42	79
13:59	58
14:16	54
14:33	68
14:50	92
15:07	68
15:24	62
15:41	59
15:58	67
16:15	54
16:35	53
16:55	68
17:15	73
17:35	55
17:55	59
18:15	54
18:35	59
18:55	48
19:15	63
19:33	89
19:53	46
20:13	41
20:33	52
20:53	54
21:13	55
21:33	49
21:53	47
22:11	43
22:29	37
22:47	45
23:05	48
23:23	1433
23:41	1437
23:59	28
