date	close
00:05	29
00:20	20
00:35	20
00:50	19
01:00	22
01:10	8
01:25	9
01:36	10
05:18	12
05:30	18
05:42	18
05:54	19
06:06	17
06:18	19
06:30	17
06:42	16
06:54	19
07:06	0
07:18	19
07:30	22
07:42	20
07:54	22
08:06	21
08:18	24
08:30	30
08:42	27
08:54	23
09:06	26
09:18	20
09:30	23
09:40	25
09:50	28
10:00	26
10:10	27
10:20	28
10:30	23
10:40	27
10:50	33
11:00	27
11:10	29
11:20	31
11:30	35
11:40	27
11:50	30
12:00	30
12:10	29
12:20	33
12:40	36
12:50	28
13:00	27
13:10	31
13:20	34
13:30	32
13:40	28
14:00	28
14:10	30
14:20	30
14:30	29
14:40	31
14:50	35
15:00	28
15:20	35
15:30	29
15:40	30
16:00	38
16:10	34
16:20	31
16:40	32
16:50	33
17:00	31
17:20	32
17:30	26
17:40	33
18:10	26
18:26	27
18:31	0
18:32	31
18:43	27
18:55	31
19:07	26
19:19	26
19:31	24
19:43	39
19:55	29
20:07	26
20:19	22
20:31	25
20:43	35
20:55	22
21:07	20
21:19	27
21:31	23
21:43	31
21:55	26
22:07	21
22:21	26
22:35	26
22:50	25
23:05	23
23:20	23
23:35	1435
23:50	1438
