15	Inbound	2012-07-01	30
15	Inbound	2012-07-02	25
15	Inbound	2012-07-03	25
15	Inbound	2012-07-04	31
15	Inbound	2012-07-05	25
15	Inbound	2012-07-06	24
15	Inbound	2012-07-07	35
15	Inbound	2012-07-08	29
15	Inbound	2012-07-09	25
15	Inbound	2012-07-10	25
15	Inbound	2012-07-11	26
15	Inbound	2012-07-12	26
15	Inbound	2012-07-13	25
15	Inbound	2012-07-14	34
15	Inbound	2012-07-15	29
15	Inbound	2012-07-16	24
15	Inbound	2012-07-17	25
15	Inbound	2012-07-18	25
15	Inbound	2012-07-19	24
15	Inbound	2012-07-20	23
15	Inbound	2012-07-21	34
15	Inbound	2012-07-22	30
15	Inbound	2012-07-23	23
15	Inbound	2012-07-24	24
15	Inbound	2012-07-25	24
15	Inbound	2012-07-26	25
15	Inbound	2012-07-27	25
15	Inbound	2012-07-28	34
15	Inbound	2012-07-29	29
15	Inbound	2012-07-30	24
15	Inbound	2012-07-31	24
15	Inbound	2012-08-01	26
15	Inbound	2012-08-02	25
15	Inbound	2012-08-03	24
15	Inbound	2012-08-04	34
15	Inbound	2012-08-05	29
15	Inbound	2012-08-06	25
15	Inbound	2012-08-07	24
15	Inbound	2012-08-08	26
15	Inbound	2012-08-09	24
15	Inbound	2012-08-10	25
15	Inbound	2012-08-11	35
15	Inbound	2012-08-12	31
15	Inbound	2012-08-13	24
15	Inbound	2012-08-14	24
15	Inbound	2012-08-15	24
15	Inbound	2012-08-16	25
15	Inbound	2012-08-17	24
15	Inbound	2012-08-18	34
15	Inbound	2012-08-19	30
15	Inbound	2012-08-20	24
15	Inbound	2012-08-21	24
15	Inbound	2012-08-22	24
15	Inbound	2012-08-23	24
15	Inbound	2012-08-24	24
15	Inbound	2012-08-25	34
15	Inbound	2012-08-26	29
15	Inbound	2012-08-27	24
15	Inbound	2012-08-28	25
15	Inbound	2012-08-29	24
15	Inbound	2012-08-30	24
15	Inbound	2012-08-31	24
15	Inbound	2012-09-01	38
15	Inbound	2012-09-02	29
15	Inbound	2012-09-03	29
15	Inbound	2012-09-04	24
15	Inbound	2012-09-05	24
15	Inbound	2012-09-06	28
15	Inbound	2012-09-07	26
15	Inbound	2012-09-08	34
15	Inbound	2012-09-09	29
15	Inbound	2012-09-10	25
15	Inbound	2012-09-11	25
15	Inbound	2012-09-12	26
15	Inbound	2012-09-13	26
15	Inbound	2012-09-14	26
15	Inbound	2012-09-15	34
15	Inbound	2012-09-16	28
15	Inbound	2012-09-17	25
15	Inbound	2012-09-18	25
15	Inbound	2012-09-19	25
15	Inbound	2012-09-20	26
15	Inbound	2012-09-21	25
15	Inbound	2012-09-22	34
15	Inbound	2012-09-23	27
15	Inbound	2012-09-24	25
15	Inbound	2012-09-25	25
15	Inbound	2012-09-26	25
15	Inbound	2012-09-27	26
15	Inbound	2012-09-28	26
15	Inbound	2012-09-29	34
15	Inbound	2012-09-30	29
15	Inbound	2012-10-01	27
15	Inbound	2012-10-02	25
15	Inbound	2012-10-03	26
15	Inbound	2012-10-04	26
15	Inbound	2012-10-05	25
15	Inbound	2012-10-06	34
15	Inbound	2012-10-07	30
15	Inbound	2012-10-08	34
15	Inbound	2012-10-09	25
15	Inbound	2012-10-10	24
15	Inbound	2012-10-11	25
15	Inbound	2012-10-12	24
15	Inbound	2012-10-13	34
15	Inbound	2012-10-14	28
15	Inbound	2012-10-15	26
15	Inbound	2012-10-16	25
15	Inbound	2012-10-17	26
15	Inbound	2012-10-18	26
15	Inbound	2012-10-19	25
15	Inbound	2012-10-20	34
15	Inbound	2012-10-21	29
15	Inbound	2012-10-22	24
15	Inbound	2012-10-23	25
15	Inbound	2012-10-24	24
15	Inbound	2012-10-25	24
15	Inbound	2012-10-26	25
15	Inbound	2012-10-27	33
15	Inbound	2012-10-28	29
