15	Inbound	3	28
15	Inbound	4	26
15	Inbound	5	29
15	Inbound	6	38
15	Inbound	7	40
15	Inbound	8	40
15	Inbound	9	39
15	Inbound	10	46
15	Inbound	11	44
15	Inbound	12	49
15	Inbound	13	47
15	Inbound	14	51
15	Inbound	15	46
15	Inbound	16	45
15	Inbound	17	42
15	Inbound	18	39
15	Inbound	19	38
15	Inbound	20	39
15	Inbound	21	37
15	Inbound	22	37
15	Inbound	23	34
15	Inbound	24	36
15	Outbound	5	32
15	Outbound	6	34
15	Outbound	7	38
15	Outbound	8	41
15	Outbound	9	41
15	Outbound	10	44
15	Outbound	11	47
15	Outbound	12	48
15	Outbound	13	47
15	Outbound	14	56
15	Outbound	15	51
15	Outbound	16	53
15	Outbound	17	51
15	Outbound	18	46
15	Outbound	19	43
15	Outbound	20	41
15	Outbound	21	38
15	Outbound	22	37
15	Outbound	23	39
15	Outbound	24	41
15	Outbound	25	54
22	Inbound	4	40
22	Inbound	5	41
22	Inbound	6	48
22	Inbound	7	54
22	Inbound	8	51
22	Inbound	9	48
22	Inbound	10	47
22	Inbound	11	49
22	Inbound	12	53
22	Inbound	13	59
22	Inbound	14	57
22	Inbound	15	58
22	Inbound	16	61
22	Inbound	17	55
22	Inbound	18	50
22	Inbound	19	46
22	Inbound	20	51
22	Inbound	21	47
22	Inbound	22	49
22	Inbound	23	43
22	Inbound	24	36
22	Outbound	5	30
22	Outbound	6	37
22	Outbound	7	40
22	Outbound	8	39
22	Outbound	9	41
22	Outbound	10	41
22	Outbound	11	45
22	Outbound	12	52
22	Outbound	13	46
22	Outbound	14	54
22	Outbound	15	56
22	Outbound	16	53
22	Outbound	17	61
22	Outbound	18	52
22	Outbound	19	49
22	Outbound	20	47
22	Outbound	21	45
22	Outbound	22	42
22	Outbound	23	36
22	Outbound	24	40
23	Inbound	4	34
23	Inbound	5	43
23	Inbound	6	52
23	Inbound	7	55
23	Inbound	8	55
23	Inbound	9	51
23	Inbound	10	52
23	Inbound	11	54
23	Inbound	12	55
23	Inbound	13	61
23	Inbound	14	62
23	Inbound	15	59
23	Inbound	16	53
23	Inbound	17	57
23	Inbound	18	50
23	Inbound	19	49
23	Inbound	20	45
23	Inbound	21	48
23	Inbound	22	41
23	Inbound	23	40
23	Inbound	24	36
23	Inbound	25	1438
23	Outbound	4	46
23	Outbound	5	34
23	Outbound	6	42
23	Outbound	7	47
23	Outbound	8	51
23	Outbound	9	47
23	Outbound	10	49
23	Outbound	11	53
23	Outbound	12	56
23	Outbound	13	61
23	Outbound	14	63
23	Outbound	15	58
23	Outbound	16	59
23	Outbound	17	61
23	Outbound	18	52
23	Outbound	19	50
23	Outbound	20	46
23	Outbound	21	44
23	Outbound	22	42
23	Outbound	23	39
23	Outbound	24	42
23	Outbound	25	515
28	Inbound	3	29
28	Inbound	4	43
28	Inbound	5	46
28	Inbound	6	58
28	Inbound	7	61
28	Inbound	8	62
28	Inbound	9	65
28	Inbound	10	61
28	Inbound	11	64
28	Inbound	12	64
28	Inbound	13	68
28	Inbound	14	66
28	Inbound	15	68
28	Inbound	16	66
28	Inbound	17	64
28	Inbound	18	60
28	Inbound	19	60
28	Inbound	20	59
28	Inbound	21	55
28	Inbound	22	50
28	Inbound	23	48
28	Inbound	24	38
28	Inbound	25	1454
28	Outbound	4	31
28	Outbound	5	41
28	Outbound	6	47
28	Outbound	7	53
28	Outbound	8	58
28	Outbound	9	57
28	Outbound	10	59
28	Outbound	11	59
