HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
1,3/1/2014,200,28,Inbound,4225233,4225234,Mattapan Station - South Busway,32,39,-7,1,34.11111111,39,207,7,4.89
1,3/1/2014,202,28,Inbound,4225233,4225234,Blue Hill Ave @ Fessenden St,32,39,-7,2,44.55555556,48.22222222,246,7,8.33
1,3/1/2014,203,28,Inbound,4225233,4225234,Blue Hill Ave @ Morton St,32,39,-7,3,26.88888889,25,294,7,7.22
1,3/1/2014,206,28,Inbound,4225233,4225234,Blue Hill Ave @ Talbot Ave,34,39,-5,4,23.09090909,27.90909091,321,5,4.82
1,3/1/2014,207,28,Inbound,4225233,4225234,Blue Hill Ave @ Ellington St - Franklin Park Zoo,35,39,-4,5,23.81818182,23,349,4,1.00
1,3/1/2014,209,28,Inbound,4225233,4225234,Warren St @ Sunderland St,35,39,-4,6,16.18181818,15,372,4,2.09
1,3/1/2014,210,28,Inbound,4225233,4225234,Warren St @ Quincy St,35,39,-4,7,18.45454545,15,387,4,3.45
1,3/1/2014,212,28,Inbound,4225233,4225234,Warren St @ Moreland St,36,39,-3,8,10.54545455,15.90909091,402,3,5.55
1,3/1/2014,213,28,Inbound,4225233,4225234,Dudley Station,36,39,-3,9,16.90909091,16.54545455,418,3,2.36
2,3/1/2014,239,28,Inbound,4225234,4225235,Mattapan Station - South Busway,37,46,-9,10,13.72727273,15,434,9,2.36
2,3/1/2014,241,28,Inbound,4225234,4225235,Blue Hill Ave @ Fessenden St,42,46,-4,11,15.09090909,15,449,4,1.00
2,3/1/2014,242,28,Inbound,4225234,4225235,Blue Hill Ave @ Morton St,42,46,-4,12,18,10,464,4,8.00
2,3/1/2014,245,28,Inbound,4225234,4225235,Blue Hill Ave @ Talbot Ave,40,47,-7,13,10.45454545,10,474,7,1.36
2,3/1/2014,246,28,Inbound,4225234,4225235,Blue Hill Ave @ Ellington St - Franklin Park Zoo,42,48,-6,14,0.272727273,10,484,6,9.73
2,3/1/2014,248,28,Inbound,4225234,4225235,Warren St @ Sunderland St,42,49,-7,15,17.36363636,11,494,7,6.36
2,3/1/2014,249,28,Inbound,4225234,4225235,Warren St @ Quincy St,42,50,-8,16,4.181818182,11,505,8,6.82
2,3/1/2014,251,28,Inbound,4225234,4225235,Warren St @ Moreland St,42,51,-9,17,21.09090909,10.90909091,516,9,10.18
2,3/1/2014,252,28,Inbound,4225234,4225235,Dudley Station,72,51,21,18,8.454545455,11.72727273,527,21,4.36
3,3/1/2014,285,28,Inbound,4225235,4199437,Mattapan Station - South Busway,29,27,2,19,8,12.36363636,539,2,4.91
3,3/1/2014,287,28,Inbound,4225235,4199437,Blue Hill Ave @ Fessenden St,30,27,3,20,9.818181818,11.90909091,551,3,2.09
3,3/1/2014,288,28,Inbound,4225235,4199437,Blue Hill Ave @ Morton St,30,27,3,21,14.54545455,11,563,3,3.55
3,3/1/2014,292,28,Inbound,4225235,4199437,Blue Hill Ave @ Talbot Ave,33,26,7,22,10.81818182,11,574,7,2.00
3,3/1/2014,294,28,Inbound,4225235,4199437,Blue Hill Ave @ Ellington St - Franklin Park Zoo,30,25,5,23,12.54545455,11,585,5,1.73
3,3/1/2014,297,28,Inbound,4225235,4199437,Warren St @ Sunderland St,29,24,5,24,14.63636364,11,596,5,4.18
3,3/1/2014,299,28,Inbound,4225235,4199437,Warren St @ Quincy St,30,23,7,25,12.27272727,11,607,7,1.64
3,3/1/2014,302,28,Inbound,4225235,4199437,Warren St @ Moreland St,31,22,9,26,9,11,618,9,2.00
3,3/1/2014,303,28,Inbound,4225235,4199437,Dudley Station,0,24,-24,27,10.90909091,11,629,24,1.73
4,3/1/2014,312,28,Inbound,4199437,4199505,Mattapan Station - South Busway,17,25,-8,28,13.09090909,10.72727273,640,8,2.36
4,3/1/2014,314,28,Inbound,4199437,4199505,Blue Hill Ave @ Fessenden St,23,25,-2,29,4.545454545,12.27272727,651,2,7.73
4,3/1/2014,315,28,Inbound,4199437,4199505,Blue Hill Ave @ Morton St,23,26,-3,30,19.81818182,11.18181818,663,3,8.64
4,3/1/2014,318,28,Inbound,4199437,4199505,Blue Hill Ave @ Talbot Ave,22,27,-5,31,3,11,675,5,8.00
4,3/1/2014,319,28,Inbound,4199437,4199505,Blue Hill Ave @ Ellington St - Franklin Park Zoo,23,28,-5,32,12.45454545,11,686,5,2.73
4,3/1/2014,321,28,Inbound,4199437,4199505,Warren St @ Sunderland St,24,29,-5,33,16.81818182,11,697,5,7.64
