HeadwayId,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
6,3/1/2014,379,57,Inbound,4236287,4236333,Tremont St @ Washington St,8,10,-2,43,13.5,11,764,2,2.50
6,3/1/2014,382,57,Inbound,4236287,4236333,Washington St @ Chestnut Hill Ave,7,10,-3,44,-2.125,9,775,3,11.13
6,3/1/2014,386,57,Inbound,4236287,4236333,Brighton Ave @ Cambridge St,7,10,-3,45,6.375,10,784,3,5.88
6,3/1/2014,390,57,Inbound,4236287,4236333,Brighton Ave @ Comm Ave,5,10,-5,46,20.75,10,794,5,10.75
6,3/1/2014,394,57,Inbound,4236287,4236333,Commonwealth Ave @ Carlton St,5,10,-5,47,7.5,10,804,5,3.50
6,3/1/2014,396,57,Inbound,4236287,4236333,Kenmore Station Busway,3,10,-7,48,4,10,814,7,6.00
7,3/1/2014,385,57,Inbound,4236333,4236036,Watertown Yard,17,10,7,49,12.375,10,824,7,2.63
7,3/1/2014,386,57,Inbound,4236333,4236036,Washington St @ Bacon St,13,10,3,50,26.375,10,834,3,16.38
7,3/1/2014,389,57,Inbound,4236333,4236036,Tremont St @ Washington St,13,10,3,51,-1,9.625,844,3,10.63
7,3/1/2014,392,57,Inbound,4236333,4236036,Washington St @ Chestnut Hill Ave,13,10,3,52,1.375,10,854,3,8.63
7,3/1/2014,396,57,Inbound,4236333,4236036,Brighton Ave @ Cambridge St,13,10,3,53,10.375,10,864,3,1.13
7,3/1/2014,400,57,Inbound,4236333,4236036,Brighton Ave @ Comm Ave,15,10,5,54,14.375,10,874,5,4.38
7,3/1/2014,404,57,Inbound,4236333,4236036,Commonwealth Ave @ Carlton St,13,10,3,55,4.5,10,884,3,5.50
7,3/1/2014,406,57,Inbound,4236333,4236036,Kenmore Station Busway,15,10,5,56,7.5,10,894,5,2.50
8,3/1/2014,395,57,Inbound,4236036,4236100,Watertown Yard,4,10,-6,57,19.375,10,904,6,9.38
8,3/1/2014,396,57,Inbound,4236036,4236100,Washington St @ Bacon St,6,10,-4,58,5.875,10,914,4,5.63
8,3/1/2014,399,57,Inbound,4236036,4236100,Tremont St @ Washington St,6,10,-4,59,12.75,10,924,4,4.50
8,3/1/2014,402,57,Inbound,4236036,4236100,Washington St @ Chestnut Hill Ave,6,10,-4,60,7.375,9.875,934,4,2.50
8,3/1/2014,406,57,Inbound,4236036,4236100,Brighton Ave @ Cambridge St,6,10,-4,61,8.25,10,944,4,3.25
8,3/1/2014,410,57,Inbound,4236036,4236100,Brighton Ave @ Comm Ave,5,10,-5,62,12.875,10,954,5,4.88
8,3/1/2014,414,57,Inbound,4236036,4236100,Commonwealth Ave @ Carlton St,9,10,-1,63,5.375,9.375,964,1,6.50
8,3/1/2014,416,57,Inbound,4236036,4236100,Kenmore Station Busway,8,10,-2,64,11.625,10,973,2,4.88
9,3/1/2014,405,57,Inbound,4236100,4236162,Watertown Yard,16,10,6,65,19.25,10,983,6,9.25
9,3/1/2014,406,57,Inbound,4236100,4236162,Washington St @ Bacon St,12,10,2,66,3.875,10,993,2,6.13
9,3/1/2014,409,57,Inbound,4236100,4236162,Tremont St @ Washington St,13,10,3,67,6.625,10,1003,3,3.88
9,3/1/2014,412,57,Inbound,4236100,4236162,Washington St @ Chestnut Hill Ave,13,10,3,68,8,10,1013,3,2.00
9,3/1/2014,416,57,Inbound,4236100,4236162,Brighton Ave @ Cambridge St,15,10,5,69,14.125,10,1023,5,5.38
9,3/1/2014,420,57,Inbound,4236100,4236162,Brighton Ave @ Comm Ave,16,10,6,70,15.5,12,1033,6,5.00
9,3/1/2014,424,57,Inbound,4236100,4236162,Commonwealth Ave @ Carlton St,16,10,6,71,7.125,12,1045,6,4.88
9,3/1/2014,426,57,Inbound,4236100,4236162,Kenmore Station Busway,17,10,7,72,13.625,12,1057,7,2.38
10,3/1/2014,415,57,Inbound,4236162,4236259,Watertown Yard,11,10,1,73,15.25,12,1069,1,6.00
10,3/1/2014,416,57,Inbound,4236162,4236259,Washington St @ Bacon St,11,10,1,74,4.625,11,1081,1,8.13
10,3/1/2014,419,57,Inbound,4236162,4236259,Tremont St @ Washington St,12,10,2,75,15.125,11,1092,2,4.13
10,3/1/2014,422,57,Inbound,4236162,4236259,Washington St @ Chestnut Hill Ave,12,10,2,76,7.75,11,1103,2,4.00
10,3/1/2014,426,57,Inbound,4236162,4236259,Brighton Ave @ Cambridge St,11,10,1,77,6.875,11,1114,1,5.13
10,3/1/2014,430,57,Inbound,4236162,4236259,Brighton Ave @ Comm Ave,10,10,0,78,16.625,11,1125,0,6.88
10,3/1/2014,434,57,Inbound,4236162,4236259,Commonwealth Ave @ Carlton St,10,10,0,79,16.875,11,1136,0,5.88
10,3/1/2014,436,57,Inbound,4236162,4236259,Kenmore Station Busway,10,10,0,80,8.625,15,1147,0,6.38
11,3/1/2014,425,57,Inbound,4236259,4236289,Watertown Yard,-4,10,-14,81,17.375,15,1162,14,4.13
11,3/1/2014,426,57,Inbound,4236259,4236289,Washington St @ Bacon St,8,10,-2,82,9.5,14.75,1177,2,7.50
11,3/1/2014,429,57,Inbound,4236259,4236289,Tremont St @ Washington St,6,10,-4,83,21.75,13.625,1192,4,8.13
11,3/1/2014,432,57,Inbound,4236259,4236289,Washington St @ Chestnut Hill Ave,7,10,-3,84,10.625,14.875,1206,3,4.75
11,3/1/2014,436,57,Inbound,4236259,4236289,Brighton Ave @ Cambridge St,6,10,-4,85,25.625,15,1220,4,10.63
11,3/1/2014,440,57,Inbound,4236259,4236289,Brighton Ave @ Comm Ave,6,10,-4,86,0.625,15,1235,4,14.38
11,3/1/2014,444,57,Inbound,4236259,4236289,Commonwealth Ave @ Carlton St,5,10,-5,87,15.5,14,1250,5,3.75
11,3/1/2014,446,57,Inbound,4236259,4236289,Kenmore Station Busway,5,10,-5,88,14.75,14,1264,5,2.25
12,3/1/2014,435,57,Inbound,4236289,4236335,Watertown Yard,13,10,3,89,16.25,15,1278,3,3.00
12,3/1/2014,436,57,Inbound,4236289,4236335,Washington St @ Bacon St,10,10,0,90,13.5,15,1293,0,1.75
12,3/1/2014,439,57,Inbound,4236289,4236335,Tremont St @ Washington St,11,10,1,91,15.5,15,1308,1,1.25
12,3/1/2014,442,57,Inbound,4236289,4236335,Washington St @ Chestnut Hill Ave,12,10,2,92,11.5,14,1323,2,2.50
12,3/1/2014,446,57,Inbound,4236289,4236335,Brighton Ave @ Cambridge St,13,10,3,93,19.5,14,1337,3,5.75
12,3/1/2014,450,57,Inbound,4236289,4236335,Brighton Ave @ Comm Ave,14,10,4,94,22.625,14,1351,4,8.63
12,3/1/2014,454,57,Inbound,4236289,4236335,Commonwealth Ave @ Carlton St,15,10,5,95,1.875,15,1365,5,13.13
12,3/1/2014,456,57,Inbound,4236289,4236335,Kenmore Station Busway,15,10,5,96,19.25,19.875,1380,5,1.63
13,3/1/2014,445,57,Inbound,4236335,4236038,Watertown Yard,12,10,2,97,24,18.25,1400,2,5.75
13,3/1/2014,446,57,Inbound,4236335,4236038,Washington St @ Bacon St,12,10,2,98,14.625,19,1419,2,4.38
13,3/1/2014,449,57,Inbound,4236335,4236038,Tremont St @ Washington St,12,10,2,99,21.625,18,1438,2,5.13
13,3/1/2014,452,57,Inbound,4236335,4236038,Washington St @ Chestnut Hill Ave,12,10,2,100,19.75,20,1456,2,1.50
13,3/1/2014,456,57,Inbound,4236335,4236038,Brighton Ave @ Cambridge St,11,10,1,,,,,1,
