HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
1,3/1/2014,285,32,Outbound,4209858,4209860,Forest Hills Station Lower Busway,41,40,1,1,40.83333333,39.83333333,289,1,1.00
1,3/1/2014,287,32,Outbound,4209858,4209860,Hyde Park Ave @ Cummins Hwy,40,40,0,2,37.83333333,38.33333333,329,0,0.83
1,3/1/2014,288,32,Outbound,4209858,4209860,807 Hyde Park Ave opp American Legion Hwy,41,40,1,3,28.2,18.4,366,1,9.80
1,3/1/2014,289,32,Outbound,4209858,4209860,Hyde Park Ave @ Greenwood Ave,41,40,1,4,18.4,24.6,384,1,12.20
1,3/1/2014,291,32,Outbound,4209858,4209860,Hyde Park Ave @ Grant Place,41,39,2,5,17.2,21.6,411,2,4.40
1,3/1/2014,295,32,Outbound,4209858,4209860,Hyde Park Ave @ Wolcott Square,41,40,1,6,14,15,433,1,1.00
2,3/1/2014,325,32,Outbound,4209860,4211105,Forest Hills Station Lower Busway,38,37,1,7,14.83333333,15,447,1,0.17
2,3/1/2014,327,32,Outbound,4209860,4211105,Hyde Park Ave @ Cummins Hwy,38,38,0,8,14.5,13,462,0,1.50
2,3/1/2014,328,32,Outbound,4209860,4211105,807 Hyde Park Ave opp American Legion Hwy,37,38,-1,9,16,12.66666667,475,1,3.33
2,3/1/2014,329,32,Outbound,4209860,4211105,Hyde Park Ave @ Greenwood Ave,37,39,-2,10,8.5,12,487,2,3.50
2,3/1/2014,330,32,Outbound,4209860,4211105,Hyde Park Ave @ Grant Place,38,39,-1,11,10.66666667,12,499,1,1.33
2,3/1/2014,335,32,Outbound,4209860,4211105,Hyde Park Ave @ Wolcott Square,39,39,0,12,13,12,511,0,1.00
3,3/1/2014,362,32,Outbound,4211105,4211127,Forest Hills Station Lower Busway,66,18,48,13,13.5,12,523,48,1.50
3,3/1/2014,365,32,Outbound,4211105,4211127,Hyde Park Ave @ Cummins Hwy,19,19,0,14,14.5,12,535,0,2.50
3,3/1/2014,366,32,Outbound,4211105,4211127,807 Hyde Park Ave opp American Legion Hwy,19,19,0,15,8.166666667,12,547,0,3.83
3,3/1/2014,368,32,Outbound,4211105,4211127,Hyde Park Ave @ Greenwood Ave,19,18,1,16,13.5,12,559,1,1.50
3,3/1/2014,369,32,Outbound,4211105,4211127,Hyde Park Ave @ Grant Place,18,18,0,17,11.16666667,12,571,0,1.17
4,3/1/2014,380,32,Outbound,4211127,4211107,Forest Hills Station Lower Busway,-21,25,-46,18,13.16666667,12,583,46,1.50
4,3/1/2014,384,32,Outbound,4211127,4211107,Hyde Park Ave @ Cummins Hwy,27,24,3,19,13.16666667,12,595,3,1.50
