stop_name,time,headway
Blue Hill Ave @ Wellington Hill St,523,2
Mattapan Station - South Busway,531,1
Warren St @ Dabney Pl,517,2
Warren St @ Townsend St,520,4
Warren St @ Crawford St,522,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,526,4
Blue Hill Ave @ Angell St,529,4
Blue Hill Ave @ Morton St,533,3
Blue Hill Ave @ Wellington Hill St,534,4
Mattapan Station - South Busway,542,5
Ruggles Station - Lane 1,519,8
Malcolm X Blvd @ King St,522,-3
Dudley Station,526,-2
Warren St @ Dabney Pl,528,-2
Warren St @ Townsend St,531,-2
Warren St @ Crawford St,533,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,537,-1
Blue Hill Ave @ Angell St,540,-1
Blue Hill Ave @ Morton St,544,-1
Blue Hill Ave @ Wellington Hill St,545,-2
Mattapan Station - South Busway,553,-1
Ruggles Station - Lane 1,530,-7
Malcolm X Blvd @ King St,533,5
Dudley Station,537,4
Warren St @ Dabney Pl,539,4
Warren St @ Townsend St,542,4
Warren St @ Crawford St,544,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,548,4
Blue Hill Ave @ Angell St,551,4
Blue Hill Ave @ Morton St,555,6
Blue Hill Ave @ Wellington Hill St,556,7
Mattapan Station - South Busway,564,7
Ruggles Station - Lane 1,541,-11
Malcolm X Blvd @ King St,544,1
Dudley Station,548,1
Warren St @ Dabney Pl,550,4
Warren St @ Townsend St,553,4
Warren St @ Crawford St,555,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,559,5
Blue Hill Ave @ Angell St,562,7
Blue Hill Ave @ Morton St,566,7
Blue Hill Ave @ Wellington Hill St,567,7
Mattapan Station - South Busway,575,7
Ruggles Station - Lane 1,552,22
Malcolm X Blvd @ King St,555,5
Dudley Station,559,6
Warren St @ Dabney Pl,561,3
Warren St @ Townsend St,564,2
Warren St @ Crawford St,566,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,570,4
Blue Hill Ave @ Angell St,573,3
Blue Hill Ave @ Morton St,577,2
Blue Hill Ave @ Wellington Hill St,578,1
Mattapan Station - South Busway,586,-1
Ruggles Station - Lane 1,563,-11
Malcolm X Blvd @ King St,566,-8
Warren St @ Dabney Pl,572,-8
Warren St @ Townsend St,575,-7
Warren St @ Crawford St,577,-8
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,581,-10
Blue Hill Ave @ Angell St,584,-12
Blue Hill Ave @ Morton St,588,-11
Blue Hill Ave @ Wellington Hill St,589,-12
Mattapan Station - South Busway,597,-10
Ruggles Station - Lane 1,574,-5
Malcolm X Blvd @ King St,577,1
Warren St @ Dabney Pl,583,3
Warren St @ Townsend St,586,4
Warren St @ Crawford St,588,4
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,592,3
Blue Hill Ave @ Angell St,595,4
Blue Hill Ave @ Morton St,599,4
Blue Hill Ave @ Wellington Hill St,601,4
Mattapan Station - South Busway,609,11
Ruggles Station - Lane 1,585,-1
Malcolm X Blvd @ King St,588,-3
Dudley Station,592,-5
Warren St @ Dabney Pl,594,-4
Warren St @ Townsend St,597,-6
Warren St @ Crawford St,599,-6
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,603,-2
Blue Hill Ave @ Angell St,607,-3
Blue Hill Ave @ Morton St,612,-5
Blue Hill Ave @ Wellington Hill St,614,-3
Mattapan Station - South Busway,622,-12
Ruggles Station - Lane 1,596,7
Malcolm X Blvd @ King St,599,4
Dudley Station,604,1
Warren St @ Dabney Pl,606,0
Warren St @ Townsend St,611,0
Warren St @ Crawford St,613,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,617,-1
Blue Hill Ave @ Angell St,621,-1
Blue Hill Ave @ Morton St,626,-3
Blue Hill Ave @ Wellington Hill St,628,-3
Mattapan Station - South Busway,636,-3
Ruggles Station - Lane 1,607,-5
Malcolm X Blvd @ King St,610,-1
Dudley Station,615,2
Warren St @ Dabney Pl,617,4
Warren St @ Townsend St,622,5
Warren St @ Crawford St,624,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,628,4
Blue Hill Ave @ Angell St,632,4
Blue Hill Ave @ Morton St,637,6
Blue Hill Ave @ Wellington Hill St,639,6
Mattapan Station - South Busway,647,10
Ruggles Station - Lane 1,618,12
Malcolm X Blvd @ King St,621,1
Dudley Station,626,-1
Warren St @ Dabney Pl,628,-2
Warren St @ Townsend St,633,-4
Warren St @ Crawford St,635,-5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,639,-6
Blue Hill Ave @ Angell St,643,-6
Blue Hill Ave @ Morton St,648,-7
Blue Hill Ave @ Wellington Hill St,650,-9
Mattapan Station - South Busway,658,-10
Ruggles Station - Lane 1,629,-2
Malcolm X Blvd @ King St,632,0
Dudley Station,637,1
Warren St @ Dabney Pl,639,6
Warren St @ Townsend St,644,8
Warren St @ Crawford St,646,8
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,650,10
Blue Hill Ave @ Angell St,654,11
Blue Hill Ave @ Morton St,659,12
Blue Hill Ave @ Wellington Hill St,661,12
Mattapan Station - South Busway,669,13
Ruggles Station - Lane 1,640,3
Malcolm X Blvd @ King St,643,-3
Dudley Station,648,-3
Warren St @ Dabney Pl,650,-8
Warren St @ Townsend St,655,-11
Warren St @ Crawford St,657,-11
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,661,-10
Blue Hill Ave @ Angell St,665,-13
Blue Hill Ave @ Morton St,670,-13
Blue Hill Ave @ Wellington Hill St,672,-10
Mattapan Station - South Busway,680,-11
Ruggles Station - Lane 1,651,-5
Malcolm X Blvd @ King St,654,0
Dudley Station,659,1
Warren St @ Dabney Pl,661,4
Warren St @ Townsend St,666,4
Warren St @ Crawford St,668,6
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,672,7
Blue Hill Ave @ Angell St,676,9
Blue Hill Ave @ Morton St,681,12
Blue Hill Ave @ Wellington Hill St,683,9
Mattapan Station - South Busway,691,11
Ruggles Station - Lane 1,662,-1
Malcolm X Blvd @ King St,665,0
Dudley Station,670,-1
Warren St @ Dabney Pl,672,-2
Warren St @ Townsend St,677,0
Warren St @ Crawford St,679,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,683,-4
