stop_name,time,headway
Warren St @ Townsend St,1061,1
Warren St @ Crawford St,1064,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1069,2
Blue Hill Ave @ Angell St,1072,2
Blue Hill Ave @ Morton St,1079,6
Blue Hill Ave @ Wellington Hill St,1081,6
Mattapan Station - South Busway,1087,7
Ruggles Station - Lane 1,1058,9
Malcolm X Blvd @ King St,1061,4
Dudley Station,1066,5
Warren St @ Dabney Pl,1068,9
Warren St @ Townsend St,1072,8
Warren St @ Crawford St,1075,8
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1080,4
Blue Hill Ave @ Angell St,1083,4
Blue Hill Ave @ Morton St,1090,1
Blue Hill Ave @ Wellington Hill St,1092,1
Mattapan Station - South Busway,1098,-1
Ruggles Station - Lane 1,1069,-15
Malcolm X Blvd @ King St,1072,-6
Dudley Station,1077,-8
Warren St @ Dabney Pl,1079,-12
Warren St @ Townsend St,1083,-13
Warren St @ Crawford St,1086,-14
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1091,-13
Blue Hill Ave @ Angell St,1094,-13
Blue Hill Ave @ Morton St,1101,-12
Blue Hill Ave @ Wellington Hill St,1103,-12
Mattapan Station - South Busway,1109,-11
Ruggles Station - Lane 1,1082,14
Malcolm X Blvd @ King St,1085,3
Dudley Station,1090,3
Warren St @ Dabney Pl,1092,6
Warren St @ Townsend St,1096,7
Warren St @ Crawford St,1099,7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1104,9
Blue Hill Ave @ Angell St,1107,9
Blue Hill Ave @ Morton St,1114,7
Blue Hill Ave @ Wellington Hill St,1116,6
Mattapan Station - South Busway,1122,7
Malcolm X Blvd @ King St,1098,6
Dudley Station,1103,7
Warren St @ Dabney Pl,1105,5
Warren St @ Townsend St,1109,3
Warren St @ Crawford St,1112,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1117,0
Blue Hill Ave @ Angell St,1120,0
Blue Hill Ave @ Morton St,1127,0
Blue Hill Ave @ Wellington Hill St,1129,3
Mattapan Station - South Busway,1135,8
Malcolm X Blvd @ King St,1111,-2
Dudley Station,1116,-3
Warren St @ Dabney Pl,1118,-3
Warren St @ Townsend St,1122,-3
Warren St @ Crawford St,1125,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1130,-3
Blue Hill Ave @ Angell St,1133,-3
Blue Hill Ave @ Morton St,1140,0
Blue Hill Ave @ Wellington Hill St,1141,-2
Mattapan Station - South Busway,1149,-11
Ruggles Station - Lane 1,1121,-17
Malcolm X Blvd @ King St,1124,-8
Dudley Station,1129,-6
Warren St @ Dabney Pl,1131,-7
Warren St @ Townsend St,1135,-6
Warren St @ Crawford St,1138,-6
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1143,-4
Blue Hill Ave @ Angell St,1146,-4
Blue Hill Ave @ Morton St,1151,-5
Blue Hill Ave @ Wellington Hill St,1152,-5
Mattapan Station - South Busway,1160,-4
Ruggles Station - Lane 1,1134,13
Malcolm X Blvd @ King St,1137,4
Dudley Station,1141,4
Warren St @ Dabney Pl,1143,3
Warren St @ Townsend St,1147,2
Warren St @ Crawford St,1149,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1154,4
Blue Hill Ave @ Angell St,1157,6
Blue Hill Ave @ Morton St,1162,7
Blue Hill Ave @ Wellington Hill St,1163,7
Mattapan Station - South Busway,1171,6
Ruggles Station - Lane 1,1147,-17
Malcolm X Blvd @ King St,1150,-2
Dudley Station,1154,-3
Warren St @ Dabney Pl,1156,-3
Warren St @ Townsend St,1160,-3
Warren St @ Crawford St,1162,-3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1167,-5
Blue Hill Ave @ Angell St,1170,-7
Blue Hill Ave @ Morton St,1175,-7
Blue Hill Ave @ Wellington Hill St,1176,-7
Mattapan Station - South Busway,1184,-7
Ruggles Station - Lane 1,1160,13
Malcolm X Blvd @ King St,1163,0
Dudley Station,1167,-1
Warren St @ Dabney Pl,1169,1
Warren St @ Townsend St,1173,0
Warren St @ Crawford St,1175,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1180,0
Blue Hill Ave @ Angell St,1183,0
Blue Hill Ave @ Morton St,1188,1
Blue Hill Ave @ Wellington Hill St,1189,3
Mattapan Station - South Busway,1197,3
Ruggles Station - Lane 1,1173,-7
Malcolm X Blvd @ King St,1176,-2
Dudley Station,1180,0
Warren St @ Dabney Pl,1182,-1
Warren St @ Townsend St,1186,1
Warren St @ Crawford St,1188,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1193,2
Blue Hill Ave @ Angell St,1196,2
Blue Hill Ave @ Morton St,1201,1
Blue Hill Ave @ Wellington Hill St,1202,-1
Mattapan Station - South Busway,1210,-1
Malcolm X Blvd @ King St,1189,5
Dudley Station,1193,4
Warren St @ Dabney Pl,1195,5
Warren St @ Townsend St,1199,4
Warren St @ Crawford St,1201,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1206,4
Blue Hill Ave @ Angell St,1209,4
Blue Hill Ave @ Morton St,1214,4
Blue Hill Ave @ Wellington Hill St,1215,4
Mattapan Station - South Busway,1223,5
Malcolm X Blvd @ King St,1202,-4
Dudley Station,1206,-4
Warren St @ Dabney Pl,1208,-6
Warren St @ Townsend St,1212,-7
Warren St @ Crawford St,1214,-7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1219,-7
Blue Hill Ave @ Angell St,1222,-9
Blue Hill Ave @ Morton St,1227,-9
Blue Hill Ave @ Wellington Hill St,1228,-8
Mattapan Station - South Busway,1234,-7
Ruggles Station - Lane 1,1216,3
Malcolm X Blvd @ King St,1219,2
Dudley Station,1223,3
Warren St @ Dabney Pl,1225,3
Warren St @ Townsend St,1229,4
Warren St @ Crawford St,1232,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1236,5
Blue Hill Ave @ Angell St,1241,5
Blue Hill Ave @ Morton St,1245,6
Blue Hill Ave @ Wellington Hill St,1247,5
Mattapan Station - South Busway,1253,5
Ruggles Station - Lane 1,1233,7
Malcolm X Blvd @ King St,1236,5
Dudley Station,1239,5
Warren St @ Dabney Pl,1242,8
Warren St @ Townsend St,1246,10
Warren St @ Crawford St,1249,11
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1253,9
Blue Hill Ave @ Angell St,1258,9
Blue Hill Ave @ Morton St,1262,8
Blue Hill Ave @ Wellington Hill St,1264,8
Mattapan Station - South Busway,1270,8
Ruggles Station - Lane 1,1250,-8
Malcolm X Blvd @ King St,1253,-6
Dudley Station,1256,-6
Warren St @ Dabney Pl,1259,-10
Warren St @ Townsend St,1263,-13
Warren St @ Crawford St,1266,-13
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1270,-15
Blue Hill Ave @ Angell St,1275,-17
Blue Hill Ave @ Morton St,1279,-17
Blue Hill Ave @ Wellington Hill St,1281,-17
Mattapan Station - South Busway,1287,13
Ruggles Station - Lane 1,1267,-7
Malcolm X Blvd @ King St,1270,-1
Dudley Station,1273,-1
Warren St @ Dabney Pl,1276,-1
Warren St @ Townsend St,1280,0
Warren St @ Crawford St,1283,-1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1287,1
Blue Hill Ave @ Angell St,1292,3
Blue Hill Ave @ Morton St,1296,3
Blue Hill Ave @ Wellington Hill St,1298,3
Mattapan Station - South Busway,1304,-26
Ruggles Station - Lane 1,1284,2
Malcolm X Blvd @ King St,1287,5
Dudley Station,1290,4
Warren St @ Dabney Pl,1293,9
Warren St @ Townsend St,1297,9
Warren St @ Crawford St,1300,10
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1304,11
Blue Hill Ave @ Angell St,1309,11
Blue Hill Ave @ Morton St,1313,13
Blue Hill Ave @ Wellington Hill St,1315,15
Mattapan Station - South Busway,1321,14
Ruggles Station - Lane 1,1301,3
Malcolm X Blvd @ King St,1304,-2
Dudley Station,1307,-1
Warren St @ Dabney Pl,1310,-4
Warren St @ Townsend St,1314,-2
Warren St @ Crawford St,1317,-4
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1321,-5
Blue Hill Ave @ Angell St,1325,-5
Blue Hill Ave @ Morton St,1329,-8
Blue Hill Ave @ Wellington Hill St,1329,-8
Mattapan Station - South Busway,1335,-3
Ruggles Station - Lane 1,1318,-2
Malcolm X Blvd @ King St,1321,-4
Dudley Station,1324,-4
Warren St @ Dabney Pl,1326,-5
Warren St @ Townsend St,1330,-7
Warren St @ Crawford St,1333,-5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1336,-5
Blue Hill Ave @ Angell St,1340,-4
Blue Hill Ave @ Morton St,1344,0
Blue Hill Ave @ Wellington Hill St,1344,0
Mattapan Station - South Busway,1350,2
Ruggles Station - Lane 1,1335,5
Malcolm X Blvd @ King St,1338,1
Dudley Station,1341,1
Warren St @ Dabney Pl,1343,1
Warren St @ Townsend St,1347,1
Warren St @ Crawford St,1350,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1353,1
Blue Hill Ave @ Angell St,1357,1
Blue Hill Ave @ Morton St,1361,-2
Blue Hill Ave @ Wellington Hill St,1361,-3
Mattapan Station - South Busway,1367,0
Ruggles Station - Lane 1,1352,-8
Malcolm X Blvd @ King St,1355,1
Dudley Station,1358,2
Warren St @ Dabney Pl,1360,5
Warren St @ Townsend St,1364,5
Warren St @ Crawford St,1367,6
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1370,7
Blue Hill Ave @ Angell St,1374,7
Blue Hill Ave @ Morton St,1378,7
Blue Hill Ave @ Wellington Hill St,1378,8
Mattapan Station - South Busway,1384,-3
Ruggles Station - Lane 1,1369,7
Malcolm X Blvd @ King St,1372,-1
Dudley Station,1375,-2
Warren St @ Dabney Pl,1377,-5
Warren St @ Townsend St,1381,-5
Warren St @ Crawford St,1384,-6
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1387,-6
Blue Hill Ave @ Angell St,1391,-6
Blue Hill Ave @ Morton St,1395,-7
Blue Hill Ave @ Wellington Hill St,1395,-9
Mattapan Station - South Busway,1401,-8
Ruggles Station - Lane 1,1386,-8
Malcolm X Blvd @ King St,1389,2
Dudley Station,1392,3
Warren St @ Dabney Pl,1394,5
Warren St @ Townsend St,1398,5
Warren St @ Crawford St,1401,6
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1404,4
Blue Hill Ave @ Angell St,1408,5
Blue Hill Ave @ Morton St,1413,6
Blue Hill Ave @ Wellington Hill St,1414,7
Mattapan Station - South Busway,1419,6
Ruggles Station - Lane 1,1403,-3
Malcolm X Blvd @ King St,1406,-4
Dudley Station,1409,-6
Warren St @ Dabney Pl,1410,-6
Warren St @ Townsend St,1414,-7
Warren St @ Crawford St,1416,-7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1420,-8
Blue Hill Ave @ Angell St,1422,-8
Blue Hill Ave @ Morton St,1427,-9
Blue Hill Ave @ Wellington Hill St,1428,-10
Mattapan Station - South Busway,1433,-9
Ruggles Station - Lane 1,1420,4
Malcolm X Blvd @ King St,1422,6
Dudley Station,1426,6
Warren St @ Dabney Pl,1427,4
Warren St @ Townsend St,1431,5
Warren St @ Crawford St,1433,7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1437,6
Blue Hill Ave @ Angell St,1439,7
Blue Hill Ave @ Morton St,1444,7
Blue Hill Ave @ Wellington Hill St,1445,7
Mattapan Station - South Busway,1450,7
Ruggles Station - Lane 1,1437,9
Malcolm X Blvd @ King St,1439,0
Dudley Station,1443,0
Warren St @ Dabney Pl,1444,1
Warren St @ Townsend St,1448,0
Warren St @ Crawford St,1450,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1454,-2
Blue Hill Ave @ Angell St,1456,-2
Blue Hill Ave @ Morton St,1461,-2
Blue Hill Ave @ Wellington Hill St,1462,-1
Mattapan Station - South Busway,1467,-1
Ruggles Station - Lane 1,1454,-3
Malcolm X Blvd @ King St,1456,-3
Dudley Station,1460,-2
Warren St @ Dabney Pl,1461,-2
Warren St @ Townsend St,1465,-3
Warren St @ Crawford St,1467,-3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1471,-2
Blue Hill Ave @ Angell St,1473,-2
Blue Hill Ave @ Morton St,1478,-1
Blue Hill Ave @ Wellington Hill St,1479,-2
Mattapan Station - South Busway,1484,-1
Ruggles Station - Lane 1,1471,1
Malcolm X Blvd @ King St,1473,3
Dudley Station,1477,2
Warren St @ Dabney Pl,1478,2
Warren St @ Townsend St,1482,4
Warren St @ Crawford St,1484,4
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1488,4
Blue Hill Ave @ Angell St,1490,2
Blue Hill Ave @ Morton St,1495,1
Blue Hill Ave @ Wellington Hill St,1496,1
Mattapan Station - South Busway,1501,0
Ruggles Station - Lane 1,1487,-1
Malcolm X Blvd @ King St,1489,22
Dudley Station,1493,21
Warren St @ Dabney Pl,1494,21
Warren St @ Townsend St,1498,19
Warren St @ Crawford St,1500,19
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,1504,19
Blue Hill Ave @ Angell St,1506,19
Blue Hill Ave @ Morton St,1511,19
Blue Hill Ave @ Wellington Hill St,1512,20
