Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
1,2014-03-01,310,01,Inbound,4226030,4226289,Massachusetts Ave @ Holyoke St,27,20,7
1,2014-03-01,313,01,Inbound,4226030,4226289,Mt Auburn St @ Putnam Ave,22,20,2
1,2014-03-01,315,01,Inbound,4226030,4226289,Massachusetts Ave @ Pearl St,21,20,1
1,2014-03-01,317,01,Inbound,4226030,4226289,84 Massachusetts Ave,22,22,0
1,2014-03-01,320,01,Inbound,4226030,4226289,Massachusetts Ave @ Newbury St,21,22,-1
1,2014-03-01,322,01,Inbound,4226030,4226289,Massachusetts Ave @ Massachusetts Ave Station,21,23,-2
1,2014-03-01,323,01,Inbound,4226030,4226289,Massachusetts Ave @ Washington St,22,24,-2
1,2014-03-01,326,01,Inbound,4226030,4226289,Washington St @ Williams St,22,24,-2
1,2014-03-01,328,01,Inbound,4226030,4226289,Dudley Station,22,24,-2
2,2014-03-01,330,01,Inbound,4226289,4225280,Massachusetts Ave @ Holyoke St,17,20,-3
2,2014-03-01,333,01,Inbound,4226289,4225280,Mt Auburn St @ Putnam Ave,19,20,-1
2,2014-03-01,335,01,Inbound,4226289,4225280,Massachusetts Ave @ Pearl St,19,20,-1
2,2014-03-01,339,01,Inbound,4226289,4225280,84 Massachusetts Ave,18,20,-2
2,2014-03-01,342,01,Inbound,4226289,4225280,Massachusetts Ave @ Newbury St,19,20,-1
2,2014-03-01,345,01,Inbound,4226289,4225280,Massachusetts Ave @ Massachusetts Ave Station,18,20,-2
2,2014-03-01,347,01,Inbound,4226289,4225280,Massachusetts Ave @ Washington St,18,20,-2
2,2014-03-01,350,01,Inbound,4226289,4225280,Washington St @ Williams St,18,20,-2
2,2014-03-01,352,01,Inbound,4226289,4225280,Dudley Station,18,20,-2
3,2014-03-01,350,01,Inbound,4225280,4225237,Massachusetts Ave @ Holyoke St,11,20,-9
3,2014-03-01,353,01,Inbound,4225280,4225237,Mt Auburn St @ Putnam Ave,25,20,5
3,2014-03-01,355,01,Inbound,4225280,4225237,Massachusetts Ave @ Pearl St,25,20,5
3,2014-03-01,359,01,Inbound,4225280,4225237,84 Massachusetts Ave,25,20,5
3,2014-03-01,362,01,Inbound,4225280,4225237,Massachusetts Ave @ Newbury St,24,20,4
3,2014-03-01,365,01,Inbound,4225280,4225237,Massachusetts Ave @ Massachusetts Ave Station,23,20,3
3,2014-03-01,367,01,Inbound,4225280,4225237,Massachusetts Ave @ Washington St,23,20,3
3,2014-03-01,370,01,Inbound,4225280,4225237,Washington St @ Williams St,26,20,6
3,2014-03-01,372,01,Inbound,4225280,4225237,Dudley Station,25,20,5
4,2014-03-01,370,01,Inbound,4225237,4226032,Massachusetts Ave @ Holyoke St,11,12,-1
4,2014-03-01,373,01,Inbound,4225237,4226032,Mt Auburn St @ Putnam Ave,6,12,-6
4,2014-03-01,375,01,Inbound,4225237,4226032,Massachusetts Ave @ Pearl St,4,12,-8
4,2014-03-01,379,01,Inbound,4225237,4226032,84 Massachusetts Ave,4,12,-8
4,2014-03-01,382,01,Inbound,4225237,4226032,Massachusetts Ave @ Newbury St,4,12,-8
4,2014-03-01,385,01,Inbound,4225237,4226032,Massachusetts Ave @ Massachusetts Ave Station,5,12,-7
4,2014-03-01,387,01,Inbound,4225237,4226032,Massachusetts Ave @ Washington St,4,12,-8
4,2014-03-01,390,01,Inbound,4225237,4226032,Washington St @ Williams St,1,12,-11
4,2014-03-01,392,01,Inbound,4225237,4226032,Dudley Station,2,12,-10
5,2014-03-01,382,01,Inbound,4226032,4226156,Massachusetts Ave @ Holyoke St,18,12,6
5,2014-03-01,385,01,Inbound,4226032,4226156,Mt Auburn St @ Putnam Ave,12,12,0
5,2014-03-01,387,01,Inbound,4226032,4226156,Massachusetts Ave @ Pearl St,14,12,2
5,2014-03-01,391,01,Inbound,4226032,4226156,84 Massachusetts Ave,12,12,0
5,2014-03-01,394,01,Inbound,4226032,4226156,Massachusetts Ave @ Newbury St,13,12,1
5,2014-03-01,397,01,Inbound,4226032,4226156,Massachusetts Ave @ Massachusetts Ave Station,13,12,1
5,2014-03-01,399,01,Inbound,4226032,4226156,Massachusetts Ave @ Washington St,13,12,1
5,2014-03-01,402,01,Inbound,4226032,4226156,Washington St @ Williams St,13,12,1
5,2014-03-01,404,01,Inbound,4226032,4226156,Dudley Station,13,12,1
6,2014-03-01,394,01,Inbound,4226156,4226291,Massachusetts Ave @ Holyoke St,14,12,2
6,2014-03-01,397,01,Inbound,4226156,4226291,Mt Auburn St @ Putnam Ave,14,12,2
6,2014-03-01,399,01,Inbound,4226156,4226291,Massachusetts Ave @ Pearl St,15,12,3
6,2014-03-01,403,01,Inbound,4226156,4226291,84 Massachusetts Ave,17,12,5
6,2014-03-01,406,01,Inbound,4226156,4226291,Massachusetts Ave @ Newbury St,17,12,5
6,2014-03-01,409,01,Inbound,4226156,4226291,Massachusetts Ave @ Massachusetts Ave Station,18,12,6
6,2014-03-01,411,01,Inbound,4226156,4226291,Massachusetts Ave @ Washington St,19,12,7
6,2014-03-01,414,01,Inbound,4226156,4226291,Washington St @ Williams St,21,12,9
6,2014-03-01,416,01,Inbound,4226156,4226291,Dudley Station,21,12,9
7,2014-03-01,406,01,Inbound,4226291,4225282,Massachusetts Ave @ Holyoke St,14,12,2
7,2014-03-01,409,01,Inbound,4226291,4225282,Mt Auburn St @ Putnam Ave,11,12,-1
7,2014-03-01,411,01,Inbound,4226291,4225282,Massachusetts Ave @ Pearl St,10,12,-2
7,2014-03-01,415,01,Inbound,4226291,4225282,84 Massachusetts Ave,9,12,-3
7,2014-03-01,418,01,Inbound,4226291,4225282,Massachusetts Ave @ Newbury St,9,12,-3
7,2014-03-01,421,01,Inbound,4226291,4225282,Massachusetts Ave @ Massachusetts Ave Station,8,12,-4
7,2014-03-01,423,01,Inbound,4226291,4225282,Massachusetts Ave @ Washington St,7,12,-5
7,2014-03-01,426,01,Inbound,4226291,4225282,Washington St @ Williams St,7,12,-5
7,2014-03-01,428,01,Inbound,4226291,4225282,Dudley Station,6,12,-6
8,2014-03-01,418,01,Inbound,4225282,4225472,Massachusetts Ave @ Holyoke St,11,12,-1
8,2014-03-01,421,01,Inbound,4225282,4225472,Mt Auburn St @ Putnam Ave,13,12,1
8,2014-03-01,423,01,Inbound,4225282,4225472,Massachusetts Ave @ Pearl St,13,12,1
8,2014-03-01,427,01,Inbound,4225282,4225472,84 Massachusetts Ave,15,12,3
8,2014-03-01,430,01,Inbound,4225282,4225472,Massachusetts Ave @ Newbury St,15,12,3
8,2014-03-01,433,01,Inbound,4225282,4225472,Massachusetts Ave @ Massachusetts Ave Station,15,12,3
8,2014-03-01,435,01,Inbound,4225282,4225472,Massachusetts Ave @ Washington St,15,12,3
8,2014-03-01,438,01,Inbound,4225282,4225472,Washington St @ Williams St,15,12,3
8,2014-03-01,440,01,Inbound,4225282,4225472,Dudley Station,16,13,3
9,2014-03-01,430,01,Inbound,4225472,4225239,Massachusetts Ave @ Holyoke St,16,12,4
9,2014-03-01,433,01,Inbound,4225472,4225239,Mt Auburn St @ Putnam Ave,10,12,-2
9,2014-03-01,435,01,Inbound,4225472,4225239,Massachusetts Ave @ Pearl St,10,12,-2
9,2014-03-01,439,01,Inbound,4225472,4225239,84 Massachusetts Ave,8,11,-3
9,2014-03-01,442,01,Inbound,4225472,4225239,Massachusetts Ave @ Newbury St,7,13,-6
9,2014-03-01,445,01,Inbound,4225472,4225239,Massachusetts Ave @ Massachusetts Ave Station,8,14,-6
9,2014-03-01,447,01,Inbound,4225472,4225239,Massachusetts Ave @ Washington St,9,15,-6
9,2014-03-01,450,01,Inbound,4225472,4225239,Washington St @ Williams St,9,15,-6
9,2014-03-01,453,01,Inbound,4225472,4225239,Dudley Station,9,15,-6
10,2014-03-01,442,01,Inbound,4225239,4226034,Massachusetts Ave @ Holyoke St,7,12,-5
10,2014-03-01,445,01,Inbound,4225239,4226034,Mt Auburn St @ Putnam Ave,11,12,-1
10,2014-03-01,447,01,Inbound,4225239,4226034,Massachusetts Ave @ Pearl St,13,14,-1
10,2014-03-01,450,01,Inbound,4225239,4226034,84 Massachusetts Ave,15,13,2
10,2014-03-01,455,01,Inbound,4225239,4226034,Massachusetts Ave @ Newbury St,17,13,4
10,2014-03-01,459,01,Inbound,4225239,4226034,Massachusetts Ave @ Massachusetts Ave Station,16,13,3
10,2014-03-01,462,01,Inbound,4225239,4226034,Massachusetts Ave @ Washington St,16,13,3
10,2014-03-01,465,01,Inbound,4225239,4226034,Washington St @ Williams St,16,13,3
10,2014-03-01,468,01,Inbound,4225239,4226034,Dudley Station,16,13,3
11,2014-03-01,454,01,Inbound,4226034,4226158,Massachusetts Ave @ Holyoke St,13,12,1
11,2014-03-01,457,01,Inbound,4226034,4226158,Mt Auburn St @ Putnam Ave,14,12,2
11,2014-03-01,461,01,Inbound,4226034,4226158,Massachusetts Ave @ Pearl St,14,12,2
11,2014-03-01,463,01,Inbound,4226034,4226158,84 Massachusetts Ave,14,12,2
11,2014-03-01,468,01,Inbound,4226034,4226158,Massachusetts Ave @ Newbury St,14,12,2
11,2014-03-01,472,01,Inbound,4226034,4226158,Massachusetts Ave @ Massachusetts Ave Station,14,12,2
11,2014-03-01,475,01,Inbound,4226034,4226158,Massachusetts Ave @ Washington St,13,12,1
11,2014-03-01,478,01,Inbound,4226034,4226158,Washington St @ Williams St,13,12,1
11,2014-03-01,481,01,Inbound,4226034,4226158,Dudley Station,13,12,1
12,2014-03-01,466,01,Inbound,4226158,4226293,Massachusetts Ave @ Holyoke St,18,12,6
12,2014-03-01,469,01,Inbound,4226158,4226293,Mt Auburn St @ Putnam Ave,14,12,2
12,2014-03-01,473,01,Inbound,4226158,4226293,Massachusetts Ave @ Pearl St,13,12,1
12,2014-03-01,475,01,Inbound,4226158,4226293,84 Massachusetts Ave,13,12,1
12,2014-03-01,480,01,Inbound,4226158,4226293,Massachusetts Ave @ Newbury St,13,12,1
12,2014-03-01,484,01,Inbound,4226158,4226293,Massachusetts Ave @ Massachusetts Ave Station,14,12,2
12,2014-03-01,487,01,Inbound,4226158,4226293,Massachusetts Ave @ Washington St,17,12,5
12,2014-03-01,490,01,Inbound,4226158,4226293,Washington St @ Williams St,18,12,6
12,2014-03-01,493,01,Inbound,4226158,4226293,Dudley Station,18,12,6
13,2014-03-01,478,01,Inbound,4226293,4225284,Massachusetts Ave @ Holyoke St,7,12,-5
13,2014-03-01,481,01,Inbound,4226293,4225284,Mt Auburn St @ Putnam Ave,11,12,-1
13,2014-03-01,485,01,Inbound,4226293,4225284,Massachusetts Ave @ Pearl St,10,12,-2
13,2014-03-01,487,01,Inbound,4226293,4225284,84 Massachusetts Ave,13,12,1
13,2014-03-01,492,01,Inbound,4226293,4225284,Massachusetts Ave @ Newbury St,11,12,-1
13,2014-03-01,496,01,Inbound,4226293,4225284,Massachusetts Ave @ Massachusetts Ave Station,11,12,-1
13,2014-03-01,499,01,Inbound,4226293,4225284,Massachusetts Ave @ Washington St,9,12,-3
13,2014-03-01,502,01,Inbound,4226293,4225284,Washington St @ Williams St,8,14,-6
13,2014-03-01,505,01,Inbound,4226293,4225284,Dudley Station,8,13,-5
14,2014-03-01,490,01,Inbound,4225284,4225474,Massachusetts Ave @ Holyoke St,9,12,-3
14,2014-03-01,493,01,Inbound,4225284,4225474,Mt Auburn St @ Putnam Ave,11,12,-1
14,2014-03-01,497,01,Inbound,4225284,4225474,Massachusetts Ave @ Pearl St,12,12,0
14,2014-03-01,499,01,Inbound,4225284,4225474,84 Massachusetts Ave,8,14,-6
14,2014-03-01,504,01,Inbound,4225284,4225474,Massachusetts Ave @ Newbury St,9,15,-6
14,2014-03-01,508,01,Inbound,4225284,4225474,Massachusetts Ave @ Massachusetts Ave Station,8,15,-7
14,2014-03-01,511,01,Inbound,4225284,4225474,Massachusetts Ave @ Washington St,9,15,-6
14,2014-03-01,516,01,Inbound,4225284,4225474,Washington St @ Williams St,9,15,-6
14,2014-03-01,518,01,Inbound,4225284,4225474,Dudley Station,9,15,-6
15,2014-03-01,502,01,Inbound,4225474,4225241,Massachusetts Ave @ Holyoke St,20,12,8
15,2014-03-01,505,01,Inbound,4225474,4225241,Mt Auburn St @ Putnam Ave,12,13,-1
15,2014-03-01,509,01,Inbound,4225474,4225241,Massachusetts Ave @ Pearl St,11,13,-2
15,2014-03-01,513,01,Inbound,4225474,4225241,84 Massachusetts Ave,12,13,-1
15,2014-03-01,519,01,Inbound,4225474,4225241,Massachusetts Ave @ Newbury St,13,13,0
15,2014-03-01,523,01,Inbound,4225474,4225241,Massachusetts Ave @ Massachusetts Ave Station,15,13,2
15,2014-03-01,526,01,Inbound,4225474,4225241,Massachusetts Ave @ Washington St,14,13,1
15,2014-03-01,531,01,Inbound,4225474,4225241,Washington St @ Williams St,15,13,2
15,2014-03-01,533,01,Inbound,4225474,4225241,Dudley Station,14,13,1
16,2014-03-01,514,01,Inbound,4225241,4226036,Massachusetts Ave @ Holyoke St,1,12,-11
16,2014-03-01,518,01,Inbound,4225241,4226036,Mt Auburn St @ Putnam Ave,11,12,-1
16,2014-03-01,522,01,Inbound,4225241,4226036,Massachusetts Ave @ Pearl St,12,12,0
16,2014-03-01,526,01,Inbound,4225241,4226036,84 Massachusetts Ave,12,12,0
16,2014-03-01,532,01,Inbound,4225241,4226036,Massachusetts Ave @ Newbury St,15,12,3
16,2014-03-01,536,01,Inbound,4225241,4226036,Massachusetts Ave @ Massachusetts Ave Station,15,12,3
16,2014-03-01,539,01,Inbound,4225241,4226036,Massachusetts Ave @ Washington St,15,12,3
16,2014-03-01,544,01,Inbound,4225241,4226036,Washington St @ Williams St,18,12,6
16,2014-03-01,546,01,Inbound,4225241,4226036,Dudley Station,19,12,7
17,2014-03-01,526,01,Inbound,4226036,4226160,Massachusetts Ave @ Holyoke St,21,12,9
17,2014-03-01,530,01,Inbound,4226036,4226160,Mt Auburn St @ Putnam Ave,15,12,3
17,2014-03-01,534,01,Inbound,4226036,4226160,Massachusetts Ave @ Pearl St,14,12,2
