Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
6,3/1/2014,375,28,Inbound,4199617,4199439,Warren St @ Quincy St,16,15,1
6,3/1/2014,377,28,Inbound,4199617,4199439,Warren St @ Moreland St,17,15,2
6,3/1/2014,379,28,Inbound,4199617,4199439,Dudley Station,17,15,2
6,3/1/2014,381,28,Inbound,4199617,4199439,Malcolm X Blvd @ Tremont St,17,15,2
6,3/1/2014,383,28,Inbound,4199617,4199439,Ruggles Sta - Upper Level,18,15,3
7,3/1/2014,375,28,Inbound,4199439,4200194,Mattapan Station - South Busway,18,15,3
7,3/1/2014,377,28,Inbound,4199439,4200194,Blue Hill Ave @ Fessenden St,16,15,1
7,3/1/2014,379,28,Inbound,4199439,4200194,Blue Hill Ave @ Morton St,17,15,2
7,3/1/2014,383,28,Inbound,4199439,4200194,Blue Hill Ave @ Talbot Ave,17,15,2
7,3/1/2014,385,28,Inbound,4199439,4200194,Blue Hill Ave @ Ellington St - Franklin Park Zoo,17,15,2
7,3/1/2014,388,28,Inbound,4199439,4200194,Warren St @ Sunderland St,19,15,4
7,3/1/2014,390,28,Inbound,4199439,4200194,Warren St @ Quincy St,19,15,4
7,3/1/2014,392,28,Inbound,4199439,4200194,Warren St @ Moreland St,20,15,5
7,3/1/2014,394,28,Inbound,4199439,4200194,Dudley Station,20,15,5
7,3/1/2014,396,28,Inbound,4199439,4200194,Malcolm X Blvd @ Tremont St,20,15,5
7,3/1/2014,398,28,Inbound,4199439,4200194,Ruggles Sta - Upper Level,20,15,5
8,3/1/2014,390,28,Inbound,4200194,4200413,Mattapan Station - South Busway,4,15,-11
8,3/1/2014,392,28,Inbound,4200194,4200413,Blue Hill Ave @ Fessenden St,16,15,1
8,3/1/2014,394,28,Inbound,4200194,4200413,Blue Hill Ave @ Morton St,15,15,0
8,3/1/2014,398,28,Inbound,4200194,4200413,Blue Hill Ave @ Talbot Ave,13,15,-2
8,3/1/2014,400,28,Inbound,4200194,4200413,Blue Hill Ave @ Ellington St - Franklin Park Zoo,11,15,-4
8,3/1/2014,403,28,Inbound,4200194,4200413,Warren St @ Sunderland St,10,15,-5
8,3/1/2014,405,28,Inbound,4200194,4200413,Warren St @ Quincy St,9,15,-6
8,3/1/2014,407,28,Inbound,4200194,4200413,Warren St @ Moreland St,8,17,-9
8,3/1/2014,409,28,Inbound,4200194,4200413,Dudley Station,9,17,-8
8,3/1/2014,411,28,Inbound,4200194,4200413,Malcolm X Blvd @ Tremont St,9,17,-8
8,3/1/2014,413,28,Inbound,4200194,4200413,Ruggles Sta - Upper Level,12,19,-7
9,3/1/2014,405,28,Inbound,4200413,4199507,Mattapan Station - South Busway,25,15,10
9,3/1/2014,407,28,Inbound,4200413,4199507,Blue Hill Ave @ Fessenden St,13,16,-3
9,3/1/2014,409,28,Inbound,4200413,4199507,Blue Hill Ave @ Morton St,13,16,-3
9,3/1/2014,413,28,Inbound,4200413,4199507,Blue Hill Ave @ Talbot Ave,15,16,-1
9,3/1/2014,415,28,Inbound,4200413,4199507,Blue Hill Ave @ Ellington St - Franklin Park Zoo,15,17,-2
9,3/1/2014,418,28,Inbound,4200413,4199507,Warren St @ Sunderland St,16,17,-1
9,3/1/2014,420,28,Inbound,4200413,4199507,Warren St @ Quincy St,17,17,0
9,3/1/2014,424,28,Inbound,4200413,4199507,Warren St @ Moreland St,19,17,2
9,3/1/2014,426,28,Inbound,4200413,4199507,Dudley Station,18,17,1
9,3/1/2014,428,28,Inbound,4200413,4199507,Malcolm X Blvd @ Tremont St,19,17,2
9,3/1/2014,432,28,Inbound,4200413,4199507,Ruggles Sta - Upper Level,16,17,-1
10,3/1/2014,420,28,Inbound,4199507,4199619,Mattapan Station - South Busway,5,15,-10
10,3/1/2014,423,28,Inbound,4199507,4199619,Blue Hill Ave @ Fessenden St,13,15,-2
10,3/1/2014,425,28,Inbound,4199507,4199619,Blue Hill Ave @ Morton St,14,15,-1
10,3/1/2014,429,28,Inbound,4199507,4199619,Blue Hill Ave @ Talbot Ave,15,15,0
10,3/1/2014,432,28,Inbound,4199507,4199619,Blue Hill Ave @ Ellington St - Franklin Park Zoo,17,15,2
10,3/1/2014,435,28,Inbound,4199507,4199619,Warren St @ Sunderland St,17,15,2
10,3/1/2014,437,28,Inbound,4199507,4199619,Warren St @ Quincy St,17,15,2
10,3/1/2014,441,28,Inbound,4199507,4199619,Warren St @ Moreland St,14,15,-1
10,3/1/2014,443,28,Inbound,4199507,4199619,Dudley Station,14,15,-1
10,3/1/2014,445,28,Inbound,4199507,4199619,Malcolm X Blvd @ Tremont St,12,15,-3
