Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
1,3/1/2014,289,73,Outbound,4218963,4219059,Harvard Upper Busway @ Red Line,12,17,-5
1,3/1/2014,291,73,Outbound,4218963,4219059,Mt Auburn St @ Story St,8,17,-9
1,3/1/2014,293,73,Outbound,4218963,4219059,Mt Auburn St @ Longfellow Rd,12,17,-5
1,3/1/2014,296,73,Outbound,4218963,4219059,Mt Auburn St @ Homer Ave,13,17,-4
1,3/1/2014,298,73,Outbound,4218963,4219059,Belmont St @ Oakley Rd,14,17,-3
1,3/1/2014,302,73,Outbound,4218963,4219059,Church St @ Lexington St,16,17,-1
2,3/1/2014,306,73,Outbound,4219059,4218965,Harvard Upper Busway @ Red Line,16,19,-3
2,3/1/2014,308,73,Outbound,4219059,4218965,Mt Auburn St @ Story St,21,19,2
2,3/1/2014,310,73,Outbound,4219059,4218965,Mt Auburn St @ Longfellow Rd,18,19,-1
2,3/1/2014,313,73,Outbound,4219059,4218965,Mt Auburn St @ Homer Ave,16,19,-3
2,3/1/2014,315,73,Outbound,4219059,4218965,Belmont St @ Oakley Rd,16,19,-3
2,3/1/2014,319,73,Outbound,4219059,4218965,Church St @ Lexington St,14,19,-5
3,3/1/2014,325,73,Outbound,4218965,4219061,Harvard Upper Busway @ Red Line,22,20,2
3,3/1/2014,327,73,Outbound,4218965,4219061,Mt Auburn St @ Story St,23,20,3
3,3/1/2014,329,73,Outbound,4218965,4219061,Mt Auburn St @ Longfellow Rd,23,20,3
3,3/1/2014,332,73,Outbound,4218965,4219061,Mt Auburn St @ Homer Ave,24,20,4
3,3/1/2014,334,73,Outbound,4218965,4219061,Belmont St @ Oakley Rd,25,20,5
3,3/1/2014,338,73,Outbound,4218965,4219061,Church St @ Lexington St,26,20,6
4,3/1/2014,345,73,Outbound,4219061,4218967,Harvard Upper Busway @ Red Line,18,20,-2
4,3/1/2014,347,73,Outbound,4219061,4218967,Mt Auburn St @ Story St,17,20,-3
4,3/1/2014,349,73,Outbound,4219061,4218967,Mt Auburn St @ Longfellow Rd,16,20,-4
