Headway: {HeadwayId: long,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
8,3/1/2014,399,57,Inbound,4236036,4236100,Tremont St @ Washington St,6,10,-4
8,3/1/2014,402,57,Inbound,4236036,4236100,Washington St @ Chestnut Hill Ave,6,10,-4
8,3/1/2014,406,57,Inbound,4236036,4236100,Brighton Ave @ Cambridge St,6,10,-4
8,3/1/2014,410,57,Inbound,4236036,4236100,Brighton Ave @ Comm Ave,5,10,-5
8,3/1/2014,414,57,Inbound,4236036,4236100,Commonwealth Ave @ Carlton St,9,10,-1
8,3/1/2014,416,57,Inbound,4236036,4236100,Kenmore Station Busway,8,10,-2
9,3/1/2014,405,57,Inbound,4236100,4236162,Watertown Yard,16,10,6
9,3/1/2014,406,57,Inbound,4236100,4236162,Washington St @ Bacon St,12,10,2
9,3/1/2014,409,57,Inbound,4236100,4236162,Tremont St @ Washington St,13,10,3
9,3/1/2014,412,57,Inbound,4236100,4236162,Washington St @ Chestnut Hill Ave,13,10,3
9,3/1/2014,416,57,Inbound,4236100,4236162,Brighton Ave @ Cambridge St,15,10,5
9,3/1/2014,420,57,Inbound,4236100,4236162,Brighton Ave @ Comm Ave,16,10,6
9,3/1/2014,424,57,Inbound,4236100,4236162,Commonwealth Ave @ Carlton St,16,10,6
9,3/1/2014,426,57,Inbound,4236100,4236162,Kenmore Station Busway,17,10,7
10,3/1/2014,415,57,Inbound,4236162,4236259,Watertown Yard,11,10,1
10,3/1/2014,416,57,Inbound,4236162,4236259,Washington St @ Bacon St,11,10,1
10,3/1/2014,419,57,Inbound,4236162,4236259,Tremont St @ Washington St,12,10,2
10,3/1/2014,422,57,Inbound,4236162,4236259,Washington St @ Chestnut Hill Ave,12,10,2
10,3/1/2014,426,57,Inbound,4236162,4236259,Brighton Ave @ Cambridge St,11,10,1
10,3/1/2014,430,57,Inbound,4236162,4236259,Brighton Ave @ Comm Ave,10,10,0
10,3/1/2014,434,57,Inbound,4236162,4236259,Commonwealth Ave @ Carlton St,10,10,0
10,3/1/2014,436,57,Inbound,4236162,4236259,Kenmore Station Busway,10,10,0
11,3/1/2014,425,57,Inbound,4236259,4236289,Watertown Yard,-4,10,-14
11,3/1/2014,426,57,Inbound,4236259,4236289,Washington St @ Bacon St,8,10,-2
11,3/1/2014,429,57,Inbound,4236259,4236289,Tremont St @ Washington St,6,10,-4
11,3/1/2014,432,57,Inbound,4236259,4236289,Washington St @ Chestnut Hill Ave,7,10,-3
11,3/1/2014,436,57,Inbound,4236259,4236289,Brighton Ave @ Cambridge St,6,10,-4
11,3/1/2014,440,57,Inbound,4236259,4236289,Brighton Ave @ Comm Ave,6,10,-4
11,3/1/2014,444,57,Inbound,4236259,4236289,Commonwealth Ave @ Carlton St,5,10,-5
11,3/1/2014,446,57,Inbound,4236259,4236289,Kenmore Station Busway,5,10,-5
12,3/1/2014,435,57,Inbound,4236289,4236335,Watertown Yard,13,10,3
12,3/1/2014,436,57,Inbound,4236289,4236335,Washington St @ Bacon St,10,10,0
12,3/1/2014,439,57,Inbound,4236289,4236335,Tremont St @ Washington St,11,10,1
12,3/1/2014,442,57,Inbound,4236289,4236335,Washington St @ Chestnut Hill Ave,12,10,2
12,3/1/2014,446,57,Inbound,4236289,4236335,Brighton Ave @ Cambridge St,13,10,3
12,3/1/2014,450,57,Inbound,4236289,4236335,Brighton Ave @ Comm Ave,14,10,4
12,3/1/2014,454,57,Inbound,4236289,4236335,Commonwealth Ave @ Carlton St,15,10,5
12,3/1/2014,456,57,Inbound,4236289,4236335,Kenmore Station Busway,15,10,5
13,3/1/2014,445,57,Inbound,4236335,4236038,Watertown Yard,12,10,2
13,3/1/2014,446,57,Inbound,4236335,4236038,Washington St @ Bacon St,12,10,2
13,3/1/2014,449,57,Inbound,4236335,4236038,Tremont St @ Washington St,12,10,2
13,3/1/2014,452,57,Inbound,4236335,4236038,Washington St @ Chestnut Hill Ave,12,10,2
13,3/1/2014,456,57,Inbound,4236335,4236038,Brighton Ave @ Cambridge St,11,10,1
13,3/1/2014,460,57,Inbound,4236335,4236038,Brighton Ave @ Comm Ave,11,10,1
13,3/1/2014,464,57,Inbound,4236335,4236038,Commonwealth Ave @ Carlton St,10,10,0
13,3/1/2014,466,57,Inbound,4236335,4236038,Kenmore Station Busway,21,10,11
14,3/1/2014,455,57,Inbound,4236038,4236102,Watertown Yard,14,10,4
14,3/1/2014,456,57,Inbound,4236038,4236102,Washington St @ Bacon St,7,10,-3
14,3/1/2014,459,57,Inbound,4236038,4236102,Tremont St @ Washington St,7,10,-3
14,3/1/2014,462,57,Inbound,4236038,4236102,Washington St @ Chestnut Hill Ave,5,10,-5
14,3/1/2014,466,57,Inbound,4236038,4236102,Brighton Ave @ Cambridge St,6,10,-4
14,3/1/2014,470,57,Inbound,4236038,4236102,Brighton Ave @ Comm Ave,4,10,-6
14,3/1/2014,474,57,Inbound,4236038,4236102,Commonwealth Ave @ Carlton St,5,11,-6
14,3/1/2014,476,57,Inbound,4236038,4236102,Kenmore Station Busway,-6,13,-19
15,3/1/2014,465,57,Inbound,4236102,4236164,Watertown Yard,9,10,-1
15,3/1/2014,466,57,Inbound,4236102,4236164,Washington St @ Bacon St,10,10,0
15,3/1/2014,469,57,Inbound,4236102,4236164,Tremont St @ Washington St,11,10,1
15,3/1/2014,472,57,Inbound,4236102,4236164,Washington St @ Chestnut Hill Ave,11,12,-1
15,3/1/2014,476,57,Inbound,4236102,4236164,Brighton Ave @ Cambridge St,12,12,0
15,3/1/2014,480,57,Inbound,4236102,4236164,Brighton Ave @ Comm Ave,13,12,1
15,3/1/2014,485,57,Inbound,4236102,4236164,Commonwealth Ave @ Carlton St,14,12,2
15,3/1/2014,489,57,Inbound,4236102,4236164,Kenmore Station Busway,13,12,1
16,3/1/2014,475,57,Inbound,4236164,4236261,Watertown Yard,8,10,-2
16,3/1/2014,476,57,Inbound,4236164,4236261,Washington St @ Bacon St,11,10,1
16,3/1/2014,479,57,Inbound,4236164,4236261,Tremont St @ Washington St,10,10,0
16,3/1/2014,484,57,Inbound,4236164,4236261,Washington St @ Chestnut Hill Ave,11,10,1
16,3/1/2014,488,57,Inbound,4236164,4236261,Brighton Ave @ Cambridge St,10,10,0
16,3/1/2014,492,57,Inbound,4236164,4236261,Brighton Ave @ Comm Ave,11,10,1
16,3/1/2014,497,57,Inbound,4236164,4236261,Commonwealth Ave @ Carlton St,9,10,-1
16,3/1/2014,501,57,Inbound,4236164,4236261,Kenmore Station Busway,10,10,0
17,3/1/2014,485,57,Inbound,4236261,4236291,Watertown Yard,7,10,-3
17,3/1/2014,486,57,Inbound,4236261,4236291,Washington St @ Bacon St,8,10,-2
17,3/1/2014,489,57,Inbound,4236261,4236291,Tremont St @ Washington St,8,10,-2
17,3/1/2014,494,57,Inbound,4236261,4236291,Washington St @ Chestnut Hill Ave,9,10,-1
17,3/1/2014,498,57,Inbound,4236261,4236291,Brighton Ave @ Cambridge St,9,10,-1
17,3/1/2014,502,57,Inbound,4236261,4236291,Brighton Ave @ Comm Ave,9,10,-1
17,3/1/2014,507,57,Inbound,4236261,4236291,Commonwealth Ave @ Carlton St,9,10,-1
17,3/1/2014,511,57,Inbound,4236261,4236291,Kenmore Station Busway,8,10,-2
18,3/1/2014,495,57,Inbound,4236291,4236337,Watertown Yard,17,10,7
18,3/1/2014,496,57,Inbound,4236291,4236337,Washington St @ Bacon St,10,10,0
18,3/1/2014,499,57,Inbound,4236291,4236337,Tremont St @ Washington St,10,10,0
18,3/1/2014,504,57,Inbound,4236291,4236337,Washington St @ Chestnut Hill Ave,9,10,-1
18,3/1/2014,508,57,Inbound,4236291,4236337,Brighton Ave @ Cambridge St,8,10,-2
18,3/1/2014,512,57,Inbound,4236291,4236337,Brighton Ave @ Comm Ave,7,10,-3
18,3/1/2014,517,57,Inbound,4236291,4236337,Commonwealth Ave @ Carlton St,8,10,-2
18,3/1/2014,521,57,Inbound,4236291,4236337,Kenmore Station Busway,9,10,-1
19,3/1/2014,505,57,Inbound,4236337,4236040,Watertown Yard,16,10,6
19,3/1/2014,506,57,Inbound,4236337,4236040,Washington St @ Bacon St,17,10,7
19,3/1/2014,509,57,Inbound,4236337,4236040,Tremont St @ Washington St,17,10,7
19,3/1/2014,514,57,Inbound,4236337,4236040,Washington St @ Chestnut Hill Ave,19,10,9
19,3/1/2014,518,57,Inbound,4236337,4236040,Brighton Ave @ Cambridge St,22,10,12
19,3/1/2014,522,57,Inbound,4236337,4236040,Brighton Ave @ Comm Ave,23,10,13
19,3/1/2014,527,57,Inbound,4236337,4236040,Commonwealth Ave @ Carlton St,25,10,15
