date	close
18:15	3
0:56	2
1:11	7
1:22	36
5:13	2
5:33	3
5:53	1
6:13	2
6:33	2
6:53	3
7:05	15
7:20	3
7:35	4
7:50	6
8:05	3
8:20	2
8:35	2
8:50	1
9:05	2
9:21	3
9:36	4
9:51	4
10:06	2
10:18	4
10:30	4
10:45	5
11:00	5
11:15	3
11:30	4
11:45	4
12:00	3
12:15	7
12:30	3
12:45	4
13:00	3
13:15	7
13:30	3
13:45	6
14:00	10
14:15	3
14:30	3
14:45	2
15:00	5
15:15	4
15:30	5
15:45	3
16:00	7
16:15	5
16:30	4
16:45	4
17:00	4
17:15	3
17:30	7
17:45	6
18:00	2
18:30	19
18:46	5
19:04	2
19:22	7
19:40	3
19:56	2
20:11	6
20:26	4
20:42	6
20:58	2
21:14	1
21:30	1
21:46	3
22:02	2
22:18	3
22:34	3
22:50	2
23:06	2
23:22	4
23:38	4
23:54	2
