date	close
4:45	2
5:07	3
5:42	1
6:00	1
6:15	3
6:30	1
6:45	1
7:00	2
7:15	3
7:25	1
7:35	3
7:45	2
7:55	2
8:06	4
8:17	5
8:37	1
8:39	3
8:50	1
9:01	6
9:12	11
9:23	12
9:34	5
9:45	9
9:56	4
10:07	3
10:18	8
10:29	2
10:40	10
10:51	1
11:02	7
11:13	4
11:24	7
11:35	5
11:46	10
11:57	3
12:08	2
12:19	7
12:30	3
12:41	3
12:52	8
13:03	10
13:14	5
13:25	11
13:36	1
13:47	5
13:58	3
14:09	2
14:20	2
14:31	7
14:42	1
14:53	3
15:04	3
15:15	14
15:29	5
15:37	2
15:48	8
15:59	7
16:10	5
16:21	7
16:32	2
16:43	2
16:54	4
17:05	2
17:16	3
17:27	4
17:38	6
17:49	9
18:02	3
18:15	4
18:31	8
18:41	5
18:54	2
19:07	4
19:20	2
19:33	1
19:46	2
20:02	5
20:16	2
20:33	2
20:50	10
21:07	5
21:24	3
21:41	8
21:58	4
22:15	3
22:32	2
22:49	6
23:06	1
23:23	5
23:40	4
