05:02	2
05:17	4
05:32	3
05:45	4
06:00	4
06:15	2
06:30	3
06:45	2
07:00	3
07:15	2
07:30	3
07:45	2
08:00	2
08:12	2
08:26	1
08:36	2
08:48	2
09:00	4
09:11	4
09:22	4
09:33	5
09:44	2
09:55	1
10:05	11
10:25	4
10:35	1
10:45	1
10:46	1
10:55	3
11:05	3
11:15	2
11:25	13
11:35	5
11:45	4
11:55	4
12:05	2
12:15	4
12:25	6
12:35	3
12:45	22
12:55	12
13:05	4
13:15	1
13:25	1
13:35	5
13:45	6
13:55	2
14:05	20
14:15	10
14:25	2
14:35	2
14:45	3
14:55	3
15:05	6
15:15	10
15:25	21
15:35	14
15:45	6
15:55	1
16:05	3
16:15	4
16:25	1
16:35	7
16:45	18
16:55	10
17:05	2
17:16	4
17:27	3
17:38	2
17:49	2
18:00	3
18:11	6
18:22	1
18:33	5
18:44	1
18:55	2
19:06	4
19:17	2
19:28	3
19:39	4
19:50	3
20:01	5
20:13	8
20:24	2
20:36	1
20:47	1
20:58	2
21:11	3
21:24	1
21:37	4
21:50	2
22:03	4
22:16	2
22:29	2
22:42	3
22:55	1
23:07	2
23:31	2
