date	close
04:40	19
05:10	22
05:25	17
05:40	30
05:55	19
06:10	32
06:25	20
06:40	29
06:55	29
07:10	28
07:25	24
07:40	32
07:54	26
08:08	31
08:22	36
08:36	49
08:50	44
09:04	44
09:18	42
09:32	42
09:46	41
10:00	38
10:12	52
10:29	28
10:32	46
10:42	28
10:52	36
11:02	41
11:12	40
11:22	38
11:32	41
11:42	44
11:52	28
12:02	49
12:12	45
12:22	39
12:32	39
12:42	52
12:52	40
13:02	46
13:12	47
13:22	40
13:32	36
13:42	45
13:52	45
14:02	41
14:12	44
14:22	41
14:32	33
14:42	46
14:52	47
15:02	49
15:12	49
15:24	38
15:36	52
15:48	29
16:00	42
16:12	47
16:24	34
16:36	39
16:48	41
17:00	34
17:12	37
17:24	43
17:36	38
17:48	48
18:00	28
18:12	27
18:24	31
18:36	35
18:48	39
19:00	30
19:12	39
19:24	34
19:36	28
19:48	33
20:00	24
20:15	27
20:32	39
20:49	37
21:06	32
21:23	38
21:40	31
22:00	29
22:23	26
22:40	30
23:00	28
23:20	32
