date	close
05:22	39
05:37	36
05:47	29
06:02	34
06:17	46
06:32	33
06:47	34
07:02	28
07:17	35
07:32	41
07:47	38
08:02	38
08:19	32
08:33	39
08:49	35
09:05	37
09:21	44
09:37	38
09:57	30
10:14	30
10:30	37
10:44	34
10:55	41
11:06	33
11:17	37
11:28	36
11:39	34
11:50	41
12:01	41
12:12	43
12:34	32
12:46	48
12:58	50
13:10	37
13:22	52
13:34	47
13:46	43
13:58	45
14:10	45
14:22	64
14:34	44
14:46	50
14:58	53
15:10	39
15:22	50
15:34	45
15:46	42
15:58	51
16:10	40
16:22	50
16:34	44
16:46	39
16:58	47
17:10	44
17:22	39
17:34	46
17:46	46
17:58	42
18:10	44
18:25	41
18:40	28
18:55	28
19:10	33
19:25	33
19:45	38
20:05	32
20:25	30
20:45	39
21:05	32
21:25	31
21:45	28
22:05	34
22:25	26
22:45	39
23:05	27
23:25	33
